INAME,CPARTNO,CDRGNO,ICODE,IQTYIN,NAME,STAGE,VCHNUM,VCHDATE,ENT_BY,TYPE,ENT_DT,WOLINK,,
DUCT BOTTOM 10 FEET FEEDER 4000A,45217-048-04,-,91221714,23,PDI-FGS,69,000154,05/03/2024,LER,50,05/03/2024,,,
FG-FD SH 250A 3P4W 2.4M_DB72112AOC240X,DB72112AOC240X,-,90214574,2,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-FD SH 250A 3P4W 1.2M_DB72112AOC120X,DB72112AOC120X,-,90214573,36,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-SIDE HOUSING FEEDER_DB72112AOC245X,DB72112AOC245X,-,90214575,12,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-TOP HOUSING PIF_DB72221PXC255X,DB72221PXC255X,-,90212463,1,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-SIDE HOUSING ASSLY PIF_DB92201POC3001,DB92201POC3001,-,90211767,92,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-SIDE HOUSING FEEDER_DB72112AAC240X,DB72112AAC240X,-,90214579,2,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FD_T/B HOUSING_ DB72111AXC120X_ L950 _FAB,DB72111AXC120X,-,90210340,54,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-PIF SH ASY 250A 3P4W 2.55M 3P_DB92201POC2553,DB92201POC2553,-,90214578,2,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-TOP HOUSING PIF_DB72221PXC275X,DB72221PXC275X,-,90211764,3,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-PIF SH ASY 250A 3P4W 3M 2P_DB92201POC3002,DB92201POC3002,-,90211661,4,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-  FE_T/B HOUSING DB72101MXC045X _L305_FAB,DB72101MXXXXXX,-,90211026,12,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-TOP HOUSING PIF_DB72221PXC200X,DB72221PXC200X,-,90211741,1,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-SIDE HOUSING FE_DB72102MAC025A,DB72102MAC025A,-,90211739,6,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG_SUPPORT PLATE_DB72003XACXXXA,DB72003XACXXXA,-,90200432,3,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG_SIDE HOUSING FEEDER_DB72112AAC120X,DB72112AAC120X,-,90200429,18,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-SUPPORT PLATE_DB72003XOCXXXA,DB72003XOCXXXA,-,90211649,6,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG_TOP/BOTTOM HOUSING FLANGE END_DB72101MXC025X,DB72101MXC025X,-,90200140,6,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-FD SH 400A 3P4W 2.45M_DB72112AAC245X,DB72112AAC245X,-,90214580,6,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG_END COVER_DB75034XACXXXX,DB75034XACXXXX,-,90200427,3,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-TOP HOUSING PIF_DB72221PXC2553,DB72221PXC2553,-,90214577,1,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-END COVER_DB75034XOCXXXX,DB75034XOCXXXX,-,90211654,6,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
PIF+G_T/H _ DB72221PXC300X _L2750_FAB.,DB72221PXC300X,-,90210490,69,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-TOP HOUSING -1 PIF_DB72221PXC2002,DB72221PXC2002,-,90211740,1,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-   FLANGE SUPPORT,DB72004XXXXXXX,-,90010045,18,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-SIDE HOUSING ASSLY PIF_DB92201PAC2002,DB92201PAC2002,-,90211742,2,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
PIF_PIH COVER_DB72226PXCXXXX_FAB.,DB72226PXCXXXX,-,90210499,79,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-TOP HOUSING PIF_DB72221PXC2751,DB72221PXC2751,-,90211763,3,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-FE SH 250A 3P4W .45M_DB72102MOC045A,DB72102MOC045A,-,90214576,12,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-PIF SH ASY 400A 3P4W 2.75M 1P_DB92201PAC2751,DB92201PAC2751,-,90214581,6,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-   FD T/BH 3P4W 2.4M,DB72111AXC240X,-,90010015,4,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-SIDE HOUSING ASSLY PIF_DB92201PAC3001,DB92201PAC3001,-,90212473,42,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-TOP-1 HOUSING PIF_DB72221PXC3001,DB72221PXC3001,-,90211765,67,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
PIF+G_T/H _ DB72221PXC3002 _L2750_FAB.,DB72221PXC3002,-,90210489,2,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-   JOINT COVER,DB75031XXXXXXX,-,90010001,242,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
FG-  FD T/BH 3P4W 2.45M,DB72111AXC245X,-,90210564,18,PDI-FGS,69,000153,04/03/2024,LER,50,04/03/2024,,,
