INAME,CPARTNO,CDRGNO,ICODE,IQTYIN,NAME,STAGE,VCHNUM,VCHDATE,ENT_BY,TYPE,ENT_DT,WOLINK,,
DUCT TOP 4 FEET FEEDER 3200A,45217-044-07-48,-,91221432,6,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT BOTTOM 34 INCH FEEDER 3200A,45217-037-03-34,-,91221523,2,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT BOTTOM 56 INCH FEEDER 3200A,45217-037-03-56,-,91221545,2,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 75 INCH FEEDER 800A,45217-017-12-75,-,91220199,3,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 65 INCH FEEDER 3200A,45217-044-07-65,-,91221449,1,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
T-D-P 2500A 10FT3HUMP P135 RAL9003,76300-407-135-01E,-,91223595,75,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,,,
SIDE DUCT 6 FT 2 HUMP P023,76300-144-023,-,91220101,27,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT BOTTOM 45 INCH FEEDER 3200A,45217-037-03-45,-,91221534,1,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 59 INCH FEEDER 800A,45217-017-12-59,-,91220183,6,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 91 INCH FEEDER 800A,45217-017-12-91,-,91220215,3,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
SIDE DUCT 81 INCH FEEDER,45217-270-081,-,91220065,2,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 3 FEET FEEDER 3200A,45217-044-07-36,-,91221420,1,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 68 INCH FEEDER 3200A,45217-044-07-68,-,91221452,1,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 69 INCH FEEDER 3200A,45217-044-07-69,-,91221453,3,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT BOTTOM 63 INCH FEEDER 3200A,45217-037-03-63,-,91221552,2,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT BOTTOM 37 INCH FEEDER 3200A,45217-037-03-37,-,91221526,2,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
SIDE DUCT 31 INCH FEEDER,45217-270-031,-,91220015,4,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
FG-DUCT BOTTOM 120 INCH FDR 2500A RAL 9003_45217-037-01-E,45217-037-01-E,-,91223608,18,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,,,
DUCT TOP 37 INCH FEEDER 3200A,45217-044-07-37,-,91221421,2,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT BOTTOM 81 INCH FEEDER 3200A,45217-037-03-81,-,91221570,1,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 57 INCH FEEDER 800A,45217-017-12-57,-,91220181,3,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
BOT DUCT  800A 6FT 2HUMP P012 P023,76300-421-012-01,-,91222616,27,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 31 INCH FEEDER 3200A,45217-044-07-31,-,91221415,2,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
SIDE DUCT  10FT 3HUMP P123,76300-142-123,-,91220106,6,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
SIDE DUCT 75 INCH FEEDER,45217-270-075,-,91220062,6,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 38 INCH FEEDER 3200A,45217-044-07-38,-,91221422,2,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 71 INCH FEEDER 3200A,45217-044-07-71,-,91221455,4,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT BOTTOM 91 INCH FEEDER 800A,45217-032-01-91,-,91220320,3,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT BOTTOM 6 FEET FEEDER 3200A,45217-037-03-72,-,91221561,8,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 45 INCH FEEDER 3200A,45217-044-07-45,-,91221429,1,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
SIDE DUCT 10FT 3HUMP P135RAL9003,76300-142-135-E,-,91223594,150,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,,,
SIDE DUCT 76 INCH FEEDER,45217-270-076,-,91220043,2,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT BOTTOM 70 INCH FEEDER 3200A,45217-037-03-70,-,91221559,1,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT BOTTOM 42 INCH FEEDER 800A,45217-032-01-42,-,91220271,3,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
FEED SIDE 6_45217-270-03,45217-270-03.,-,91222706,16,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT BOTTOM 4 FEET FEEDER 3200A,45217-037-03-48,-,91221537,6,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 22 INCH FEEDER 3200A,45217-044-07-22,-,91221406,2,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
SIDE DUCT 58 INCH FEEDER,45217-270-058,-,91220054,6,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
SIDE DUCT 70 INCH FEEDER,45217-270-070,-,91220041,2,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 42 INCH FEEDER 800A,45217-017-12-42,-,91220166,3,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT BOTTOM 76 INCH FEEDER 3200A,45217-037-03-76,-,91221565,1,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 81 INCH FEEDER 3200A,45217-044-07-81,-,91221465,1,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
BOT DUCT  800A 10FT 3HUMP P123 P345,76300-404-123-01,-,91222401,6,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT BOTTOM 49 INCH FEEDER 3200A,45217-037-03-49,-,91221538,2,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT BOTTOM 65 INCH FEEDER 3200A,45217-037-03-65,-,91221554,1,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT BOTTOM 59 INCH FEEDER 800A,45217-032-01-59,-,91220288,6,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT BOTTOM 32 INCH FEEDER 3200A,45217-037-03-32,-,91221521,4,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
SIDE DUCT 73 INCH FEEDER,45217-270-073,-,91220060,4,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 76 INCH FEEDER 3200A,45217-044-07-76,-,91221460,1,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 99 INCH FEEDER 3200A,45217-044-07-99,-,91221483,1,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT BOTTOM 22 INCH FEEDER 3200A,45217-037-03-22,-,91221511,2,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
SIDE DUCT 63 INCH FEEDER,45217-270-063,-,91220055,4,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 96 INCH FEEDER 3200A,45217-044-07-96,-,91221480,5,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 98 INCH FEEDER 3200A,45217-044-07-98,-,91221482,1,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT BOTTOM 69 INCH FEEDER 3200A,45217-037-03-69,-,91221558,3,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 105 INCH FEEDER 800A,45217-017-12-105,-,91220229,3,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
DUCT TOP 70 INCH FEEDER 3200A,45217-044-07-70,-,91221454,1,PDI-FGS,69,000017,25/07/2023,JASWAL,50,17/10/2023,-,,
SIDE DUCT 40 INCH FEEDER,45217-270-040,-,91220023,6,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 40 INCH FEEDER 1600A,45217-017-17-40,-,91220794,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 38 INCH FEEDER 3200A,45217-037-03-38,-,91221527,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 79 INCH FEEDER 2000A,45217-017-19-79,-,91221043,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DBL RUN FDR BOTTOM 10FT 2500A AL_45217-037-03,45217-037-03.,-,91222709,15,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 107 INCH FEEDER,45217-270-107,-,91222718,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 5 FEET FEEDER 5000A,45217-048-03-60,-,91221969,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 54 INCH FEEDER 5000A,45217-048-03-54,-,91221963,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
BUSWAYSIDE_45217-270-05,45217-270-05.,-,91222707,30,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 2 FEET FEEDER 3200A,45217-037-03-24,-,91221513,6,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
TOP DUCT PIO 800A 10FT 3HUMP P135,76300-401-135-01,-,91222346,3,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 75 INCH FEEDER,45217-270-075,-,91220062,4,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 6 FEET FEEDER 3200A,45217-037-03-72,-,91221561,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 29 INCH FEEDER,45217-270-029,-,91220013,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 79 INCH FEEDER,45217-270-079,-,91222702,4,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 79 INCH FEEDER 2000A,45217-032-08-79,-,91221148,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 35 INCH FEEDER 3200A,45217-044-07-35,-,91221419,3,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 40 INCH FEEDER 2000A,45217-017-19-40,-,91221004,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 2 FEET FEEDER,45217-270-002,-,91220004,12,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 27 INCH FEEDER 3200A,45217-044-07-27,-,91221411,4,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 25 INCH FEEDER 2500A,45217-044-05-25,-,91221199,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 106 INCH FEEDER 3200A,45217-044-07-106,-,91221490,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 4 FEET FEEDER 3200A,45217-037-03-48,-,91221537,13,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 40 INCH FEEDER 1600A,45217-032-06-40,-,91220899,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 74 INCH FEEDER 3200A,45217-037-03-74,-,91221563,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 8 FEET FEEDER 3200A_45217-037-03-96,45217-037-03-96.,-,91222711,9,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 4 FEET FEEDER 3200A,45217-044-07-48,-,91221432,13,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 2 FEET FEEDER 3200A,45217-044-07-24,-,91221408,6,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 35 INCH FEEDER 3200A,45217-037-03-35,-,91221524,3,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 106 INCH FEEDER 3200A,45217-037-03-106,-,91221595,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 3 FEET FEEDER,45217-270-036,-,91220020,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 5 FEET FEEDER,45217-270-060,-,91220037,4,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 34 INCH FEEDER 3200A,45217-044-07-34,-,91221418,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 27 INCH FEEDER,45217-270-027,-,91220049,8,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 54 INCH FEEDER,45217-270-054,-,91222698,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
FG-  IP 55/65/66 JT COVER 2000A 3P4W(50N),DB75004XGXXXXX,-,90210553,10,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,,,
SIDE DUCT 34 INCH FEEDER,45217-270-034,-,91220018,4,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 34 INCH FEEDER 3200A,45217-037-03-34,-,91221523,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 107 INCH FEEDER 3200A,45217-037-03-107,-,91221596,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 74 INCH FEEDER,45217-270-074,-,91220061,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 43 INCH FEEDER,45217-270-043,-,91220026,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 38 INCH FEEDER,45217-270-038,-,91220021,4,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 75 INCH FEEDER 3200A,45217-037-03-75,-,91221564,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 117 INCH FEEDER 3200A,45217-037-03-117,-,91221606,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 40 INCH FEEDER 2000A,45217-032-08-40,-,91221109,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 26 INCH FEEDER,45217-270-026,-,91220012,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 3 FEET FEEDER 3200A,45217-044-07-36,-,91221420,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 54 INCH FEEDER 5000A,45217-027-07-54,-,91221858,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 79 INCH FEEDER 1600A,45217-032-06-79,-,91220938,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 22 INCH FEEDER 3200A,45217-044-07-22,-,91221406,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 29 INCH FEEDER 3200A,45217-037-03-29,-,91221518,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 43 INCH FEEDER 2500A,45217-044-05-43,-,91221217,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 4 INCH FEEDER,45217-270-06,-,91222703,26,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 6 FEET FEEDER 3200A,45217-044-07-72,-,91221456,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 50 INCH FEEDER 3200A,45217-037-03-50,-,91221539,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 107 INCH FEEDER 3200A,45217-044-07-107,-,91221491,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 27 INCH FEEDER 3200A,45217-037-03-27,-,91221516,4,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 35 INCH FEEDER,45217-270-035,-,91220019,6,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
BOT DUCT  800A 10FT 3HUMP P135,76300-404-135-01,-,91222421,3,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 5 FEET FEEDER 3200A,45217-037-03-60,-,91221549,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 38 INCH FEEDER 3200A,45217-044-07-38,-,91221422,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 10FT 3HUMP P135,76300-142-135,-,91222724,6,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 30 INCH FEEDER,45217-270-030,-,91220014,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 26 INCH FEEDER 3200A,45217-037-03-26,-,91221515,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 8 FEET FEEDER 3200A_45217-044-07-96,45217-044-07-96.,-,91222710,9,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 8 FEET FEEDER,45217-270-007,-,91220005,18,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 22 INCH FEEDER 3200A,45217-037-03-22,-,91221511,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 117 INCH FEEDER 3200A,45217-044-07-117,-,91221501,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 50 INCH FEEDER,45217-270-050,-,91220031,4,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 30 INCH FEEDER 3200A,45217-044-07-30,-,91221414,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 25 INCH FEEDER 2500A,45217-037-01-25,-,91221304,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 74 INCH FEEDER 3200A,45217-044-07-74,-,91221458,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 117 INCH FEEDER,45217-270-117,-,91220091,4,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 26 INCH FEEDER 3200A,45217-044-07-26,-,91221410,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
FEED SIDE 6_45217-270-03,45217-270-03.,-,91222706,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DBL RUN FDR 4P DUCT TOP 10FT 2500A AL_45217-044-07,45217-044-07.,-,91222708,15,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 29 INCH FEEDER 3200A,45217-044-07-29,-,91221413,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 50 INCH FEEDER 3200A,45217-044-07-50,-,91221434,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 3 FEET FEEDER 3200A,45217-037-03-36,-,91221525,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 25 INCH FEEDER,45217-270-025,-,91220011,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 87 INCH FEEDER 3200A,45217-044-07-87,-,91221471,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 43 INCH FEEDER 2500A,45217-037-01-43,-,91221322,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 22 INCH FEEDER,45217-270-022,-,91220009,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 87 INCH FEEDER 3200A,45217-037-03-87,-,91221576,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 106 INCH FEEDER,45217-270-106,-,91220083,4,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 79 INCH FEEDER 1600A,45217-017-17-79,-,91220833,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 75 INCH FEEDER 3200A,45217-044-07-75,-,91221459,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT BOTTOM 30 INCH FEEDER 3200A,45217-037-03-30,-,91221519,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 5 FEET FEEDER 5000A,45217-027-07-60,-,91221864,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
SIDE DUCT 87 INCH FEEDER,45217-270-087,-,91220070,2,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DUCT TOP 5 FEET FEEDER 3200A,45217-044-07-60,-,91221444,1,PDI-FGS,69,000016,19/07/2023,JASWAL,50,24/07/2023,-,,
DBL RUN FDR BOTTOM 10FT 2500A AL_45217-037-03,45217-037-03.,-,91222709,38,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
FG_TOP/BOTTOM HOUSING FLANGE END_DB72101MXC025X,DB72101MXC025X,-,90200140,16,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
FG_TOP HOUSING-2 DOUBLE STACK_DB72114AXC245X,DB72114AXC245X,-,90200292,2,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
FG-  HE_SIDE HOUSING 1_ DB72123BGCWAWX _L191.6X191.6_,DB72123BGCWAWX,-,90210946,3,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
SIDE DUCT 69 INCH FEEDER,45217-270-069,-,91220059,2,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
FG-   FD T/BH 3P4W .5M,DB72111AXC050X,-,90010002,16,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
DUCT TOP 22 INCH FEEDER 1600A,45217-017-17-22,-,91220776,1,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
DUCT TOP 69 INCH FEEDER 2000A,45217-017-19-69,-,91221033,1,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
B DUCT 2500A 10FT 3HUMP P135RAL9003,76300-410-135-01-E,-,91223596,12,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,,,
DUCT BOTTOM 37 INCH FEEDER 1600A,45217-032-06-37,-,91220896,1,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
FG_SIDE HOUSING FEEDER_DB72112AAC120X,DB72112AAC120X,-,90200429,8,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
FG-  HE_T/B HOUSING_ DB72121BXCWAWX _L242.5X242.5_,DB72121BXCWAWX,-,90210736,6,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
DUCT TOP 56 INCH FEEDER 1600A,45217-017-17-56,-,91220810,1,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
FG-  DB75004XMXXXXX  IP COVER,DB75004XMXXXXX,-,90100049,16,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
FE_SUPPORT STRIP_DB70301XXCXXXA_FAB,DB70301XXCXXXA,-,90210381,0,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
FG-  FD T/BH 3P4W 2.45M,DB72111AXC245X,-,90210564,2,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
FG-   FD T/BH 3P4W 3M,DB72111AXC300X,-,90010018,2,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
SIDE DUCT 21 INCH FEEDER,45217-270-021,-,91220048,2,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
FG_TOP HOUSING-1 DOUBLE STACK_DB72113AXC245X,DB72113AXC245X,-,90200291,2,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
DUCT TOP 21 INCH FEEDER 2000A,45217-017-19-21,-,91220985,1,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
FG-DUCT TOP 120 INCH FDR 2500A RAL 9003_45217-044-05-E,45217-044-05-E,-,91223614,36,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,,,
FG_SIDE HOUSING FEEDER_DB72112AGC245X,DB72112AGC245X,-,90200290,6,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
FG-  FE SH 630A 3P4W .5M,DB72102MBC050A,-,90210576,4,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
FG_SUPPORT PLATE_DB72003XACXXXA,DB72003XACXXXA,-,90200432,2,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
DUCT BOTTOM 44 INCH FEEDER 2000A,45217-032-08-44,-,91221113,1,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
FG_SIDE HOUSING FEEDER_DB72112ABC120X,DB72112ABC120X,-,90200431,8,PDI-FGS,69,000015,13/07/2023,JASWAL,50,09/11/2023,-,,
