CUSTOMER,ITEM_NAME,ICODE,WK_REF,PLAN_QTY,VCHNUM,VCHDATE,ARCH_QTY,ISARCH,ENT_BY,ENT_DT,EDT_BY,EDT_DT,ACODE,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG_4 WAY SPN SD_DBSPN004SDS,90200316,202411,43,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG_12 WAY SPN DD GLAZED_DBSPN012GDS,90200324,202411,6,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,DP 12 MOD COMB BUS BAR,90020229,202411,1015,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 16W DD IP43 250A MCCB I/C - PREMIUM (DBVTH016DD),90020107,202411,12,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,507817 20A TP P&S DB,90040166,202411,200,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N015,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG_16 WAY SPN SD_DBSPN016SDS,90200328,202411,14,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,ENCLOSURE 6W SD IP30 - PREMIUM,90020040,202411,230,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,P&S 20A 3PIN 3MOD SD IP30 - METAL CLAD,90020219,202411,200,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG_8 WAY SPN SD_DBSPN008SDS,90200322,202411,100,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG_12 WAY SPN SD_DBSPN012SDS,90200325,202411,104,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,CEB- VTPN DOUBLE DOOR MODULAR INCOMER,90020178,202411,10,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,SP 13 MOD COMB BUS BAR,90020227,202411,3,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16S062,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,BUSBAR INTERIOR VTPN10,90040316,202411,20,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,BUSBAR INTERIOR VTPN14,90040317,202411,20,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 SPN 4WAY (R),90040023,202411,150,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:08,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 SPN 6WAY (R),90040024,202411,200,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:08,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 SPN 8WAY (R),90040025,202411,200,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:08,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 SPN 12WAY (R),90040026,202411,200,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:09,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 ETPN 4WAY (R),90040031,202411,200,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:09,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 ETPN 6WAY (R),90040032,202411,80,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:09,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 ETPN 8WAY (R),90040033,202411,20,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:09,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,507810 10A SP P&S DB,90040165,202411,300,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:09,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507811 20A SP P&S DB,90040157,202411,4700,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:09,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507814 20A DP P&S DB,90040158,202411,1700,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:09,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507818 32A TP P&S DB,90040172,202411,500,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:09,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507820 20A DP RCBO P&S DB,90040159,202411,450,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:09,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507822 32A FP RCBO P&S DB,90040168,202411,170,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:09,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507860 EK P17 TEMPRA DB 16A 2P,90040160,202411,2000,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:09,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507861 EK P17 TEMPRA DB 32A 3P,90040169,202411,200,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:09,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507862 EK P17 TEMPRA DB 32A 3P,90040170,202411,2600,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:09,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507863 EK P17 TEMPRA DB 32A 2P,90040161,202411,1500,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:09,16N008,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,507864 EK P17 TEMPRA DB 63A 3P,90040171,202411,1000,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:09,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,507790 SP ENCLOSURE,90040162,202411,400,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:09,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,507791 DP ENCLOSURE,90040155,202411,7500,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:09,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,507793 FP ENCLOSURE,90040156,202411,10500,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:09,16S062,,
