ITEM_NAME,ERP_CODE,CLOSING,NAME,UNIT,ICAT,CPARTNO,CUST_REF,RATE,CAL_VALUE,PREFX,IWEIGHT,LABRCHG,IRATE1,IH_VALUE,TOT_VAL,GRP,STAGE,CLOSING_WT,FG_REF,,
M5 X 8 SCREW COMBIHEAD_XS02012_PL_EXP,32070009,13233,61. ASSEMBLY  N4,NOS,DOM,-,-,0.4375,5789,,0,0,0,0,5789,3207,61,0,,,
M4 PLAIN WASHER ID 4.5/OD 9 (XW00098)_ST41520_FLAKE,32090063,1214,61. ASSEMBLY  N4,NOS,DOM,ST41520,-,0.22,267,,0,0,0,0,267,3209,61,0,,,
M4 PLAIN WASHER_ST41520_PL,32090052,2788,61. ASSEMBLY  N4,NOS,DOM,-,-,0.12,335,,0,0,0,0,335,3209,61,0,,,
M4 PP WASHER_XW60033,32090046,741,61. ASSEMBLY  N4,NOS,DOM,XW60033,-,0.16,119,,0,0,0,0,119,3209,61,0,,,
M4 STAR WASHER PL,32090034,1,61. ASSEMBLY  N4,NOS,DOM,-,-,0.14,0,,0,0,0,0,0,3209,61,0,,,
M5 PLAIN WASHER_PL,32090047,1559,61. ASSEMBLY  N4,NOS,DOM,-,-,0.082,128,,0,0,0,0,128,3209,61,0,,,
M5 PLASTIC WASHER-L,32090024,22543,61. ASSEMBLY  N4,NOS,DOM,-,-,0.07,1578,,0,0,0,0,1578,3209,61,0,,,
M5 SPRING WASHER_XW50004_FB,32090050,610,61. ASSEMBLY  N4,NOS,DOM,-,-,0.15,92,,0,0,0,0,92,3209,61,0,,,
M5 STAR WASHER_PLATTED,32090056,19418,61. ASSEMBLY  N4,NOS,DOM,-,-,0.145,2816,,0,0,0,0,2816,3209,61,0,,,
M5 STAR WASHER_XW50010_FB,32090049,21712,61. ASSEMBLY  N4,NOS,DOM,-,-,0.145,3148,,0,0,0,0,3148,3209,61,0,,,
M5-RETAINER_ST13488,32090037,3882,61. ASSEMBLY  N4,NOS,DOM,-,-,0.16,621,,0,0,0,0,621,3209,61,0,,,
M5X22 ST42243 EXP,32090062,1158,61. ASSEMBLY  N4,NOS,DOM,-,-,0.698,808,,0,0,0,0,808,3209,61,0,,,
M6 PLAIN WASHER,32090015,7229,61. ASSEMBLY  N4,NOS,-,-,0,0.105,759,,0,0,0,0,759,3209,61,0,,,
M6 PLAIN WASHER_EXP,32090059,3166,61. ASSEMBLY  N4,NOS,DOM,-,-,0.1742,552,,0,0,0,0,552,3209,61,0,,,
M6 SERRATED WASHER_XW50013_FB,32090057,2182,61. ASSEMBLY  N4,NOS,DOM,-,-,0.24,524,,0,0,0,0,524,3209,61,0,,,
M6 STAR WASHER(FINNED)_XW50013_ PL,32090014,441,61. ASSEMBLY  N4,NOS,-,-,0,0.17,75,,0,0,0,0,75,3209,61,0,,,
M8 MS WASHER PL_MEP(DISC),32090042,3441,61. ASSEMBLY  N4,NOS,DOM,-,-,1.1,3785,,0,0,0,0,3785,3209,61,0,,,
TRIVALENT PLATED XW00053_ST42305_FLAKE,32090065,12059,61. ASSEMBLY  N4,NOS,DOM,ST42305,-,0.1496,1804,,0,0,0,0,1804,3209,61,0,,,
M4 SPRING WASHER XW50001,32100003,2280,61. ASSEMBLY  N4,NOS,DOM,-,-,0.11,251,,0,0,0,0,251,3210,61,0,,,
M5 PP WASHER_XW60100,32100007,2342,61. ASSEMBLY  N4,NOS,DOM,XW60100,-,0.17,398,,0,0,0,0,398,3210,61,0,,,
M6 SPRING WASHER_XW50006_FB,32100011,252,61. ASSEMBLY  N4,NOS,DOM,-,-,0.16,40,,0,0,0,0,40,3210,61,0,,,
SPRING DOOR KNOB MEP_G3591A,32110002,23,61. ASSEMBLY  N4,NOS,-,G3591A,0,0.6,14,,0,0,0,0,14,3211,61,0,,,
M4 SCREW RETAINER_XW60062,32130002,3274,61. ASSEMBLY  N4,NOS,DOM,XW60062,-,0.15,491,,0,0,0,0,491,3213,61,0,,,
M4 X 6MM SCREW (XS00381)_ST41521_FLAKE,32140003,4518,61. ASSEMBLY  N4,NOS,DOM,ST41521,-,0.407,1839,,0,0,0,0,1839,3214,61,0,,,
NEUTRAL BAR 2 MOD_PLUG AND SOCKET_CB95429(CB60997),33030017,1699,61. ASSEMBLY  N4,NOS,DOM,-,-,6.15,10449,,0,0,0,0,10449,3303,61,0,,,
SF-TP 12 MOD COMB BUS BAR_BTP12,33030019,79,61. ASSEMBLY  N4,NOS,DOM,-,-,218.4,17254,,0,0,0,0,17254,3303,61,0,,,
0.5 MOD BLANKING PLATE-CB50921,34010132,84,61. ASSEMBLY  N4,NOS,DOM,-,-,3.5,294,,0,0,0,0,294,3401,61,0,,,
1 MOD BLANKING PLATE_CB50922,34010133,792,61. ASSEMBLY  N4,NOS,DOM,CB50922,-,1.36,1077,,0,0,0,0,1077,3401,61,0,,,
1P COMB BUSBAR END CAP CB50934,34010102,532,61. ASSEMBLY  N4,NOS,DOM,CB50934,-,0.68,362,,0,0,0,0,362,3401,61,0,,,
B.B.C.SUPPORT NEW,34010002,904,61. ASSEMBLY  N4,NOS,-,-,0,1.39,1257,,0,0,0,0,1257,3401,61,0,,,
BASE PLATE SUPPORT CB50914,34010114,1038,61. ASSEMBLY  N4,NOS,DOM,-,-,0.74,768,,0,0,0,0,768,3401,61,0,,,
BIG KEY HOLE COVER CB50919,34010116,287,61. ASSEMBLY  N4,NOS,DOM,-,-,0.6,172,,0,0,0,0,172,3401,61,0,,,
BLANKING PLATE IVORY,34010278,377,61. ASSEMBLY  N4,NOS,COM,-,-,0.44,166,,0,0,0,0,166,3401,61,0,,,
BUSBAR END SUPPORT CB50990,34010120,142,61. ASSEMBLY  N4,NOS,DOM,CB50990,-,10.9,1548,,0,0,0,0,1548,3401,61,0,,,
BUSBAR SUPPORT CB50908,34010111,2715,61. ASSEMBLY  N4,NOS,DOM,-,-,2.51,6815,,0,0,0,0,6815,3401,61,0,,,
CABLE TIE 150MM,34010010,749,61. ASSEMBLY  N4,NOS,-,-,0,60,44940,,0,0,0,0,44940,3401,61,0,,,
COMBI BUSBAR SUPPORT CB50907,34010110,-4,61. ASSEMBLY  N4,NOS,DOM,-,-,5.02,-20,,0,0,0,0,-20,3401,61,0,,,
COVER VTPN-CB50903,34010125,641,61. ASSEMBLY  N4,NOS,DOM,-,-,7.94,5090,,0,0,0,0,5090,3401,61,0,,,
DIN MOUNTED NEUTRAL SUPPORT COVER CB50916,34010263,1699,61. ASSEMBLY  N4,NOS,DOM,-,-,1.12,1903,,0,0,0,0,1903,3401,61,0,,,
DIN SUPPORT_CB50925,34010165,41,61. ASSEMBLY  N4,NOS,-,CB50925,-,0.87,36,,0,0,0,0,36,3401,61,0,,,
DOOR KNOB FOR MEP_WHITE,34010222,23,61. ASSEMBLY  N4,NOS,DOM,-,-,5.977,137,,0,0,0,0,137,3401,61,0,,,
EARTH BAR SUPPORT_ CB50918,34010166,5138,61. ASSEMBLY  N4,NOS,-,CB50918,-,0.5,2569,,0,0,0,0,2569,3401,61,0,,,
END CAP VTPN CB50902,34010109,155,61. ASSEMBLY  N4,NOS,DOM,-,-,2.66,412,,0,0,0,0,412,3401,61,0,,,
